X,Y
15.557143,14.531476
15.600000,14.605247
15.385715,14.715902
15.171429,14.605247
14.914286,14.605247
14.871429,14.568361
14.828572,14.605247
14.657144,14.605247
14.614286,14.568361
14.400001,14.568361
14.357143,14.531476
14.271429,14.568361
14.100000,14.494591
14.057143,14.531476
13.842857,14.531476
13.800000,14.494591
13.500000,14.494591
13.457143,14.457705
13.414286,14.494591
13.328571,14.494591
13.285715,14.457705
12.942858,14.457705
12.900001,14.420820
12.728572,14.420820
12.685715,14.383935
12.642858,14.420820
12.214286,14.420820
12.171429,14.383935
12.128572,14.420820
12.085714,14.383935
11.657144,14.383935
11.614286,14.347050
11.571429,14.383935
11.442858,14.383935
11.400001,14.347050
11.314286,14.383935
11.142858,14.273279
11.142858,14.236394
11.228572,14.162623
11.314286,14.125738
11.442858,14.125738
11.485715,14.088853
11.614286,14.088853
11.657144,14.051968
11.700001,14.088853
11.742858,14.051968
11.957143,14.051968
12.000000,14.015082
12.171429,14.015082
12.214286,13.978197
12.300000,14.015082
12.385715,13.941312
12.942858,13.904427
12.985715,13.867541
13.114286,13.867541
13.157144,13.830656
13.242858,13.830656
13.285715,13.867541
13.414286,13.793771
13.671429,13.793771
13.714286,13.756886
13.842857,13.756886
13.885715,13.793771
14.014286,13.720000
14.271429,13.720000
14.314286,13.683115
14.614286,13.683115
14.657144,13.646230
15.300000,13.609344
15.000000,13.609344
14.957143,13.646230
14.314286,13.683115
14.271429,13.720000
14.014286,13.720000
13.971429,13.756886
13.885715,13.720000
13.842857,13.756886
13.714286,13.756886
13.671429,13.793771
13.414286,13.793771
13.371428,13.830656
13.285715,13.793771
13.114286,13.867541
12.985715,13.867541
12.942858,13.830656
12.857143,13.904427
12.685715,13.904427
12.642858,13.941312
